Member_number,itemDescription,Date
3705,yogurt,17-08-2014
2832,domestic eggs,29-07-2014
4054,napkins,5/10/2014
1595,whole milk,17-07-2014
4821,domestic eggs,2/9/2014
1336,napkins,23-01-2014
2446,whipped/sour cream,19-01-2014
1033,rolls/buns,21-04-2014
1447,fruit/vegetable juice,5/6/2014
1185,frozen meals,14-08-2014
1410,rum,6/1/2014
4588,whipped/sour cream,28-07-2014
2732,brown bread,31-01-2014
1473,long life bakery product,10/10/2014
2029,dish cleaner,21-10-2014
2799,pot plants,31-07-2014
4579,yogurt,19-01-2014
1041,candy,13-06-2014
1877,whole milk,30-09-2014
4191,cat food,14-03-2014
3649,chocolate,7/11/2014
2706,liquor,24-02-2014
3821,yogurt,26-02-2014
3917,soda,14-02-2014
4464,rolls/buns,27-07-2014
1935,processed cheese,30-06-2014
1783,white bread,22-07-2014
3817,domestic eggs,23-08-2014
4162,napkins,15-04-2014
1653,frozen meals,18-07-2014
1686,candles,12/4/2014
2549,soda,5/9/2014
1380,cat food,22-04-2014
3315,yogurt,27-12-2014
4931,salty snack,23-02-2014
4849,sliced cheese,14-04-2014
2984,soda,7/7/2014
1262,sugar,12/7/2014
2561,flour,27-11-2014
2755,whole milk,2/1/2014
1747,frozen vegetables,7/1/2014
1913,soap,31-08-2014
3090,pasta,3/10/2014
4369,whole milk,27-10-2014
4872,margarine,20-10-2014
3918,specialty cheese,4/5/2014
1758,whipped/sour cream,21-09-2014
2328,candy,22-01-2014
3570,butter,5/6/2014
4753,frozen potato products,11/10/2014
1815,pastry,4/12/2014
4372,dessert,11/9/2014
1287,frozen meals,8/7/2014
4938,UHT-milk,5/1/2014
4164,dessert,8/9/2014
4410,onions,24-05-2014
2609,semi-finished bread,4/6/2014
2293,napkins,31-03-2014
4049,beverages,6/7/2014
2240,sugar,2/10/2014
3197,margarine,1/3/2014
1223,UHT-milk,5/9/2014
2186,whipped/sour cream,12/4/2014
4137,oil,15-12-2014
3284,pot plants,25-03-2014
3190,bottled beer,13-04-2014
3059,frozen vegetables,15-06-2014
2441,hard cheese,28-08-2014
3645,sugar,22-08-2014
2246,newspapers,21-01-2014
4431,soda,12/6/2014
3047,condensed milk,16-08-2014
1866,yogurt,29-08-2014
3138,margarine,13-10-2014
2078,cream cheese ,14-05-2014
3142,soda,6/5/2014
4262,whipped/sour cream,3/6/2014
4872,domestic eggs,13-02-2014
1985,dessert,18-05-2014
2458,cat food,20-11-2014
2540,cling film/bags,29-01-2014
3194,pastry,26-07-2014
3071,specialty bar,18-04-2014
4181,rolls/buns,7/9/2014
2033,whole milk,29-11-2014
3306,canned beer,11/12/2014
1658,female sanitary products,9/8/2014
3884,butter,12/10/2014
1215,shopping bags,30-07-2014
2477,rolls/buns,30-09-2014
3971,whole milk,4/2/2014
3644,candles,20-02-2014
3370,soda,24-11-2014
3295,chocolate marshmallow,7/6/2014
4325,oil,11/12/2014
3089,hygiene articles,27-10-2014
4758,white bread,1/4/2014
3748,brown bread,16-02-2014
1249,bottled beer,11/10/2014
4056,yogurt,16-06-2014
4673,flour,23-06-2014
4589,yogurt,24-01-2014
1995,white bread,4/11/2014
2663,packaged fruit/vegetables,30-03-2014
4713,newspapers,27-06-2014
3353,sparkling wine,24-01-2014
1043,chocolate marshmallow,16-06-2014
3227,seasonal products,1/3/2014
3210,hard cheese,21-12-2014
4696,whole milk,8/9/2014
4573,soda,24-03-2014
4409,kitchen towels,6/5/2014
2994,long life bakery product,12/7/2014
4233,packaged fruit/vegetables,18-01-2014
2353,cereals,18-01-2014
4561,fruit/vegetable juice,25-02-2014
1182,canned fish,16-11-2014
1223,yogurt,18-11-2014
3837,hard cheese,1/12/2014
1268,brown bread,30-01-2014
1649,newspapers,24-11-2014
1113,newspapers,7/1/2014
3248,other vegetables,25-10-2014
3803,rolls/buns,17-06-2014
2389,whole milk,13-10-2014
4266,frozen vegetables,29-11-2014
2719,hygiene articles,16-02-2014
1679,whipped/sour cream,19-08-2014
3861,root vegetables,18-03-2014
3402,bottled water,26-12-2014
3559,napkins,12/11/2014
4958,specialty chocolate,10/5/2014
4780,candy,9/3/2014
4162,margarine,16-02-2014
3813,rolls/buns,25-12-2014
4624,pot plants,22-04-2014
2004,pastry,14-09-2014
3978,mustard,6/9/2014
4124,domestic eggs,27-07-2014
4280,specialty chocolate,1/3/2014
3279,candy,26-11-2014
4649,waffles,10/9/2014
2293,house keeping products,26-08-2014
3030,dish cleaner,2/5/2014
4856,sugar,8/7/2014
3917,detergent,30-05-2014
1486,oil,30-11-2014
2334,soda,2/3/2014
2097,dog food,14-03-2014
4169,napkins,4/4/2014
4821,yogurt,20-04-2014
1487,fruit/vegetable juice,9/4/2014
3308,chewing gum,12/4/2014
2611,packaged fruit/vegetables,26-04-2014
3203,other vegetables,4/3/2014
4166,whole milk,7/12/2014
1010,UHT-milk,5/3/2014
4890,sugar,30-11-2014
3763,bottled water,4/2/2014
1867,sliced cheese,22-02-2014
1532,yogurt,11/10/2014
2923,napkins,11/3/2014
3489,popcorn,11/1/2014
4370,pastry,27-05-2014
1086,margarine,26-09-2014
4156,butter milk,13-12-2014
2310,shopping bags,21-03-2014
1073,domestic eggs,5/6/2014
4818,sliced cheese,7/1/2014
2724,rolls/buns,23-04-2014
2570,long life bakery product,29-07-2014
4495,oil,25-05-2014
1423,shopping bags,26-02-2014
3119,candy,28-06-2015
4015,brown bread,27-03-2015
2869,yogurt,29-04-2015
4814,coffee,12/2/2015
2978,pip fruit,25-11-2015
4789,specialty cheese,9/4/2015
2151,soda,3/8/2015
2390,yogurt,21-08-2015
3634,bottled water,2/12/2015
3394,waffles,13-12-2015
1874,baking powder,8/6/2015
4671,rolls/buns,1/8/2015
3647,specialty chocolate,3/3/2015
1275,mustard,17-02-2015
3306,frozen vegetables,28-09-2015
1087,chocolate,19-03-2015
3210,whole milk,23-12-2015
1136,brown bread,3/1/2015
3050,pickled vegetables,21-06-2015
4406,artif. sweetener,1/2/2015
4277,soda,9/8/2015
2500,pickled vegetables,6/12/2015
4704,whole milk,19-08-2015
4470,red/blush wine,23-12-2015
4747,shopping bags,24-08-2015
2550,butter,20-04-2015
4783,kitchen towels,10/10/2015
2117,salt,7/11/2015
4510,shopping bags,3/9/2015
4258,candy,11/12/2015
3535,specialty chocolate,18-01-2015
3095,curd,16-08-2015
4625,bottled water,7/4/2015
2014,oil,23-06-2015
1677,prosecco,9/12/2015
4743,chocolate marshmallow,4/7/2015
4212,soft cheese,31-03-2015
1087,cake bar,14-08-2015
3682,waffles,12/10/2015
2406,pastry,10/3/2015
3915,bottled beer,21-01-2015
1901,chocolate,4/5/2015
4992,specialty bar,23-05-2015
4308,shopping bags,7/4/2015
1566,shopping bags,5/6/2015
2839,candy,31-10-2015
4666,shopping bags,19-10-2015
2325,jam,16-04-2015
4238,hygiene articles,8/3/2015
1983,processed cheese,20-05-2015
4798,yogurt,21-11-2015
3703,white bread,16-06-2015
1456,domestic eggs,19-07-2015
3309,frozen dessert,2/9/2015
1983,ice cream,9/8/2015
2676,white wine,7/4/2015
1017,shopping bags,30-09-2015
3793,newspapers,7/8/2015
1609,white wine,3/5/2015
3459,whole milk,23-01-2015
1192,fruit/vegetable juice,9/1/2015
3044,brown bread,5/1/2015
3661,shopping bags,27-11-2015
1188,soda,9/1/2015
1865,white bread,2/8/2015
1692,other vegetables,28-06-2015
3577,whipped/sour cream,12/5/2015
4951,seasonal products,13-03-2015
1714,soda,2/8/2015
1610,oil,26-05-2015
4652,pot plants,8/4/2015
4020,napkins,11/4/2015
2633,waffles,27-11-2015
4305,newspapers,24-07-2015
2416,bags,15-02-2015
3124,rolls/buns,9/4/2015
1422,rolls/buns,31-05-2015
2101,chocolate,7/1/2015
2876,fruit/vegetable juice,30-10-2015
2684,salt,11/1/2015
2377,mustard,16-04-2015
2394,meat spreads,17-02-2015
4320,butter,13-01-2015
1009,newspapers,5/10/2015
1460,napkins,13-01-2015
1821,misc. beverages,20-04-2015
3182,pastry,15-10-2015
1526,yogurt,26-11-2015
2070,soda,16-07-2015
2534,soda,18-05-2015
3794,soda,28-04-2015
1405,artif. sweetener,28-02-2015
4544,ketchup,7/1/2015
2494,yogurt,10/6/2015
3322,specialty bar,2/2/2015
3655,brown bread,16-02-2015
2918,napkins,8/4/2015
2584,shopping bags,31-03-2015
2212,salt,16-04-2015
3176,margarine,1/8/2015
4564,white bread,13-06-2015
4556,long life bakery product,17-08-2015
4573,margarine,10/10/2015
2781,chocolate,10/4/2015
3316,abrasive cleaner,3/1/2015
1827,cat food,2/5/2015
4889,bottled water,3/2/2015
3548,instant coffee,1/6/2015
2736,curd,17-07-2015
4927,whole milk,19-10-2015
3214,frozen meals,22-12-2015
3275,sugar,18-06-2015
2909,female sanitary products,8/5/2015
4226,frozen meals,6/12/2015
1622,soda,11/3/2015
1395,newspapers,12/10/2015
2938,whipped/sour cream,6/6/2015
3674,bottled water,13-08-2015
2063,sugar,8/11/2015
4214,rolls/buns,7/10/2015
3042,curd cheese,16-01-2015
3877,detergent,17-09-2015
2168,waffles,25-11-2015
1503,dishes,12/5/2015
2769,root vegetables,23-04-2015
4933,domestic eggs,27-02-2015
3082,bottled water,22-05-2015
1422,salty snack,1/1/2015
3139,abrasive cleaner,26-02-2015
2200,sugar,8/3/2015
4670,newspapers,31-08-2015
2053,rolls/buns,21-09-2015
4847,margarine,3/2/2015
1185,chocolate,24-08-2015
4656,newspapers,25-12-2015
2741,canned vegetables,11/9/2015
2654,coffee,17-08-2015
2010,waffles,19-12-2015
1500,pasta,26-09-2014
3855,specialty bar,15-07-2014
2037,napkins,5/5/2014
4907,bottled beer,1/2/2014
2055,newspapers,14-12-2014
1133,shopping bags,21-03-2014
3099,cream cheese ,16-12-2014
4261,rolls/buns,13-06-2014
2276,fruit/vegetable juice,25-07-2014
2584,bottled beer,2/4/2014
1544,shopping bags,1/5/2014
4416,butter,3/9/2014
3727,beverages,2/5/2014
1059,cling film/bags,14-06-2014
1999,cream cheese ,30-04-2014
2584,flower (seeds),19-06-2014
3528,salty snack,7/9/2014
3782,rolls/buns,25-04-2014
4453,napkins,20-03-2014
1881,frozen dessert,15-02-2014
4122,bottled water,20-10-2014
4874,bottled water,21-02-2014
1410,soups,7/2/2014
3357,hygiene articles,19-05-2014
1554,brown bread,27-10-2014
1652,semi-finished bread,5/5/2014
4251,rolls/buns,1/7/2014
4316,soda,3/5/2014
1491,pickled vegetables,4/8/2014
1522,napkins,11/10/2014
1927,flour,20-06-2014
3668,rolls/buns,24-10-2014
4385,abrasive cleaner,5/8/2014
3005,margarine,26-11-2014
2132,chocolate,24-01-2014
2484,waffles,16-07-2014
2264,dish cleaner,22-07-2014
3045,chewing gum,16-08-2014
4297,brown bread,30-05-2014
1050,cat food,30-05-2014
3718,hygiene articles,7/7/2014
1423,syrup,13-10-2014
1071,fruit/vegetable juice,26-09-2014
1399,softener,5/4/2014
2892,coffee,19-08-2014
2396,margarine,19-08-2014
3663,roll products ,2/1/2014
4139,bottled water,25-03-2014
4044,semi-finished bread,8/7/2014
3639,hygiene articles,20-01-2014
1753,sliced cheese,3/10/2014
1835,rice,8/7/2014
1783,misc. beverages,14-02-2014
3863,shopping bags,1/9/2014
1229,frozen potato products,3/9/2014
2470,red/blush wine,1/5/2014
1828,rolls/buns,6/1/2014
3360,candles,12/4/2014
4690,sliced cheese,6/3/2014
4814,hygiene articles,8/1/2014
3099,frozen dessert,10/2/2014
3961,bottled water,23-06-2014
1948,pastry,2/11/2014
4414,bottled water,15-10-2014
2906,bottled beer,13-11-2014
2017,seasonal products,7/10/2014
2086,detergent,18-06-2014
3082,pickled vegetables,10/11/2014
4574,bottled water,1/5/2014
3696,frozen vegetables,5/4/2014
1653,flour,23-04-2014
2930,coffee,3/4/2014
3602,margarine,7/10/2014
1103,tea,28-07-2014
3223,liquor,6/8/2014
4788,shopping bags,9/9/2014
3358,chocolate,22-10-2014
4133,soda,2/2/2014
4160,dish cleaner,10/7/2014
2080,long life bakery product,23-07-2014
1877,waffles,22-06-2014
2243,candles,1/10/2014
2738,sugar,16-01-2014
3869,chocolate,12/8/2014
2924,shopping bags,26-05-2014
4613,newspapers,4/10/2014
3421,organic products,18-10-2014
4764,whipped/sour cream,28-08-2014
4800,cat food,27-10-2014
1288,napkins,20-08-2014
2194,soda,6/6/2014
2072,yogurt,12/8/2014
2950,long life bakery product,3/2/2014
1681,bottled water,6/7/2014
3957,bottled water,20-07-2014
1004,rolls/buns,13-10-2014
4048,rolls/buns,12/4/2014
2309,newspapers,17-04-2014
3238,newspapers,6/2/2014
3613,flour,20-10-2014
1716,bottled water,11/8/2014
3669,shopping bags,25-06-2014
4806,domestic eggs,13-09-2014
1434,candles,13-11-2014
3977,frozen meals,1/2/2014
4086,napkins,14-01-2014
3357,mustard,22-06-2014
2159,sugar,8/10/2014
2984,fruit/vegetable juice,25-09-2014
1351,coffee,15-01-2014
1359,newspapers,29-05-2014
3636,sliced cheese,10/8/2014
3783,ready soups,11/4/2014
2807,rolls/buns,2/6/2014
3960,rolls/buns,15-02-2014
4233,whole milk,23-06-2014
3683,hard cheese,5/10/2014
4838,yogurt,7/9/2014
2779,abrasive cleaner,21-01-2014
4297,shopping bags,2/3/2014
1258,whipped/sour cream,9/8/2014
2755,chocolate,25-11-2014
2340,red/blush wine,17-01-2014
1690,curd cheese,9/5/2014
2592,shopping bags,8/9/2014
2952,newspapers,12/1/2014
3246,pastry,25-12-2014
1900,long life bakery product,15-03-2014
3414,napkins,22-05-2014
1153,ready soups,10/8/2014
1751,oil,4/9/2014
2499,shopping bags,1/11/2014
2355,pot plants,19-02-2014
3660,yogurt,21-09-2014
2760,pot plants,20-06-2014
1028,bottled water,24-04-2014
4657,soda,3/4/2014
1569,fruit/vegetable juice,9/3/2014
3737,brown bread,6/7/2014
3462,bottled beer,1/10/2014
2921,cream cheese ,18-11-2014
1111,UHT-milk,3/3/2014
1261,flower (seeds),6/10/2014
1572,white bread,31-03-2014
1811,pastry,2/6/2014
3287,cleaner,12/11/2014
1020,yogurt,19-07-2014
2374,artif. sweetener,16-09-2014
2252,seasonal products,10/3/2014
3289,fruit/vegetable juice,21-03-2014
1312,soft cheese,12/11/2014
1045,yogurt,12/1/2014
1275,butter milk,18-01-2014
4241,pot plants,2/10/2014
1116,soda,22-06-2014
1356,shopping bags,17-08-2014
2354,white bread,6/1/2014
4045,whipped/sour cream,30-07-2014
3189,dental care,16-04-2014
3515,canned beer,31-05-2014
1169,white bread,25-01-2014
2299,yogurt,4/8/2014
3539,pastry,7/11/2014
2389,UHT-milk,6/6/2014
1487,fruit/vegetable juice,2/11/2014
4698,white bread,20-01-2014
3335,long life bakery product,5/9/2014
1065,rum,14-01-2014
4763,pickled vegetables,27-02-2014
2879,artif. sweetener,27-06-2014
1451,processed cheese,28-08-2014
1947,white bread,7/1/2014
4364,coffee,13-04-2014
4477,dessert,14-10-2014
1150,bottled water,6/9/2014
2873,newspapers,23-05-2014
3040,white bread,11/10/2014
4862,Instant food products,8/6/2014
2795,fruit/vegetable juice,27-06-2014
2254,napkins,30-01-2014
2066,pastry,29-12-2014
3180,margarine,9/11/2014
1205,curd,12/8/2014
4040,chocolate,14-11-2014
4760,bottled water,16-10-2014
2357,whipped/sour cream,5/6/2014
1507,fruit/vegetable juice,24-05-2014
1870,rolls/buns,10/6/2014
3900,pudding powder,5/8/2014
3627,brandy,6/7/2014
2098,canned beer,2/8/2014
2242,liquor (appetizer),27-04-2014
3444,rice,7/1/2014
2437,fruit/vegetable juice,24-06-2014
2267,hygiene articles,10/6/2014
3930,pastry,31-05-2014
1964,hard cheese,18-03-2014
4362,fruit/vegetable juice,14-01-2014
2339,baking powder,20-05-2014
1663,rolls/buns,24-02-2014
2384,tropical fruit,14-01-2014
3013,pastry,19-04-2014
3765,bottled beer,1/4/2014
1446,curd,7/5/2014
2135,salty snack,15-02-2014
4872,soda,1/6/2014
4817,salty snack,14-05-2014
2571,yogurt,7/7/2014
4338,frozen dessert,7/7/2014
2760,long life bakery product,1/4/2014
4564,yogurt,11/10/2014
1862,cookware,21-05-2014
4155,Instant food products,10/9/2014
2965,cat food,4/1/2014
4854,sugar,12/1/2014
3349,other vegetables,18-01-2014
3416,canned vegetables,5/4/2014
1466,bottled water,23-08-2014
1032,shopping bags,23-09-2014
4489,white bread,24-05-2014
3862,dental care,14-03-2014
1181,dishes,13-07-2014
4772,whipped/sour cream,8/6/2014
3612,flour,31-05-2014
3266,salty snack,7/10/2014
4969,baking powder,7/1/2014
1035,salt,15-08-2014
2917,hygiene articles,22-04-2014
2861,domestic eggs,25-10-2014
3247,rolls/buns,9/8/2014
3913,shopping bags,6/5/2014
3877,frozen dessert,20-06-2014
1129,brown bread,14-11-2014
2605,white bread,2/6/2014
2308,bottled beer,10/9/2014
1412,domestic eggs,20-06-2014
3743,domestic eggs,6/1/2014
2937,white bread,6/10/2014
1932,oil,6/7/2014
3857,butter,3/4/2014
3810,soft cheese,21-07-2014
1241,long life bakery product,14-08-2014
1607,rolls/buns,12/10/2014
3854,soda,26-06-2014
4509,shopping bags,30-07-2014
2654,sweet spreads,8/8/2014
2511,bottled water,4/10/2014
4337,specialty bar,27-04-2014
2993,specialty chocolate,8/7/2014
3138,napkins,28-12-2014
3518,domestic eggs,8/2/2014
1057,soda,6/1/2014
2125,oil,2/4/2014
4137,frozen vegetables,23-07-2014
4761,baking powder,24-11-2014
1162,fruit/vegetable juice,28-03-2014
1761,newspapers,26-02-2014
3507,margarine,20-07-2014
3104,rolls/buns,6/2/2014
2070,napkins,27-04-2014
4266,coffee,19-02-2014
4187,snack products,4/5/2014
3297,cat food,29-05-2014
2618,bottled water,5/1/2014
3895,margarine,2/6/2014
4657,flour,21-09-2014
2042,pasta,17-04-2014
1342,soda,3/4/2014
2784,house keeping products,26-05-2014
4110,brown bread,25-01-2014
2908,rolls/buns,27-04-2014
3489,coffee,26-08-2014
1335,oil,3/1/2014
2718,soups,7/2/2014
1153,dish cleaner,28-03-2014
4165,roll products ,3/4/2014
3769,white bread,31-01-2014
1733,newspapers,27-02-2014
2290,fruit/vegetable juice,23-12-2014
2669,pastry,24-03-2014
1852,Instant food products,4/3/2014
4515,white bread,6/3/2014
4875,salt,15-04-2014
3437,bottled beer,31-10-2014
1494,yogurt,16-05-2014
4505,chocolate,30-12-2014
2440,pastry,10/11/2014
2603,shopping bags,28-06-2014
4629,yogurt,23-11-2014
3382,pastry,1/4/2014
4509,fruit/vegetable juice,6/6/2014
1510,whole milk,13-10-2014
2470,bottled water,12/12/2014
4487,cat food,8/4/2014
4574,specialty fat,22-11-2014
4005,vinegar,13-05-2014
1379,female sanitary products,11/6/2014
3830,pastry,12/10/2014
4812,candy,9/6/2014
3956,chocolate,1/1/2014
4234,napkins,1/10/2014
3180,sugar,30-07-2014
3300,cat food,31-07-2014
4287,canned vegetables,20-07-2014
1628,softener,10/2/2014
2033,pot plants,5/4/2014
2517,cream cheese ,17-04-2014
2430,pastry,28-01-2014
3108,bottled beer,25-03-2014
4574,instant coffee,18-04-2014
2851,salad dressing,5/5/2014
4719,fruit/vegetable juice,12/2/2014
1128,frozen vegetables,27-03-2014
1571,onions,17-11-2014
1810,curd,30-04-2014
3062,bottled water,9/7/2014
4681,bottled water,13-01-2014
4671,canned fish,13-08-2014
4533,cereals,13-04-2014
2579,yogurt,12/12/2014
3493,canned beer,9/2/2014
1450,cling film/bags,4/2/2014
1961,other vegetables,6/4/2014
4302,chocolate,7/10/2014
3950,white bread,22-01-2014
2718,white bread,9/2/2014
1870,napkins,1/2/2014
3855,vinegar,7/5/2014
4107,soda,3/6/2014
3476,fruit/vegetable juice,5/7/2014
4721,semi-finished bread,1/5/2014
3208,fruit/vegetable juice,20-09-2014
4349,pickled vegetables,11/8/2014
1378,soft cheese,10/12/2014
4929,frozen vegetables,27-06-2014
3186,long life bakery product,24-04-2014
1482,shopping bags,24-09-2014
1145,soda,13-09-2014
2777,soda,14-09-2014
1232,canned beer,8/8/2014
2825,curd cheese,21-04-2014
3785,cream cheese ,13-02-2014
3000,cat food,22-08-2014
1980,chocolate marshmallow,17-07-2014
2154,chocolate,24-09-2014
1242,chocolate,16-12-2014
1824,soda,28-11-2014
2774,domestic eggs,28-06-2014
2366,dish cleaner,11/10/2014
1987,long life bakery product,26-12-2014
2306,fruit/vegetable juice,7/5/2014
4979,newspapers,28-02-2014
4543,long life bakery product,29-06-2014
4021,napkins,23-04-2014
4623,shopping bags,19-11-2014
4547,newspapers,7/9/2014
2729,cleaner,22-08-2014
4471,mustard,13-04-2014
1625,jam,24-12-2014
2787,sugar,30-09-2014
4541,cream cheese ,6/7/2014
3529,bottled water,26-02-2014
2984,pastry,22-04-2014
1685,waffles,18-10-2014
4520,bottled water,23-03-2014
2355,yogurt,15-01-2014
3883,sweet spreads,5/3/2014
4922,whole milk,12/7/2014
3423,chocolate,16-07-2014
1129,specialty chocolate,21-12-2014
4018,newspapers,21-02-2014
3189,fruit/vegetable juice,1/7/2014
1235,soda,1/11/2014
2262,newspapers,6/10/2014
4100,dental care,23-04-2014
1553,domestic eggs,5/9/2014
3628,female sanitary products,1/8/2014
2280,soda,11/12/2014
4236,skin care,13-05-2014
1358,newspapers,15-12-2014
4638,photo/film,11/10/2014
1343,white bread,27-11-2014
3612,seasonal products,16-02-2014
4596,white wine,19-02-2014
2399,bottled water,26-03-2014
3300,domestic eggs,10/7/2014
3502,soda,14-02-2014
1127,roll products ,6/2/2014
1296,flower (seeds),19-05-2014
3739,salty snack,12/1/2014
4661,soda,15-02-2014
3287,pastry,23-04-2014
4746,newspapers,2/1/2014
4282,hair spray,20-06-2014
3757,mayonnaise,7/4/2014
3279,shopping bags,9/10/2014
3387,fruit/vegetable juice,22-09-2014
2553,rolls/buns,26-12-2014
3697,dessert,11/2/2014
1819,fruit/vegetable juice,22-12-2014
2607,misc. beverages,25-01-2014
2615,rolls/buns,29-05-2014
1196,newspapers,15-08-2014
2926,specialty bar,16-06-2014
2294,bottled beer,8/1/2014
4967,coffee,22-04-2014
1284,soups,1/9/2014
2089,margarine,3/5/2014
1284,rolls/buns,26-06-2014
1246,yogurt,3/3/2014
3038,baking powder,18-04-2014
2910,canned fish,28-03-2014
3957,newspapers,1/9/2014
4493,canned beer,16-03-2014
1972,whipped/sour cream,2/5/2014
2492,candles,10/3/2014
2943,canned beer,11/9/2014
2686,pastry,20-12-2014
3968,frozen vegetables,5/11/2014
1955,napkins,3/6/2014
2665,specialty chocolate,11/10/2014
3850,coffee,27-03-2014
2973,sliced cheese,31-10-2014
3264,spread cheese,27-06-2014
1591,bottled beer,15-01-2014
1747,rolls/buns,7/9/2014
1255,red/blush wine,26-09-2014
4683,specialty chocolate,17-09-2014
1102,white wine,13-04-2014
4618,pickled vegetables,18-11-2014
2508,dessert,28-05-2014
4165,newspapers,3/4/2014
2168,butter,6/10/2014
2929,pastry,22-10-2014
1316,whipped/sour cream,17-01-2014
3991,margarine,3/7/2014
2142,Instant food products,27-08-2014
4671,domestic eggs,22-10-2014
1051,shopping bags,26-12-2014
1410,shopping bags,24-06-2014
3752,shopping bags,25-11-2014
1054,fruit/vegetable juice,16-01-2014
2591,beverages,1/9/2014
2454,yogurt,22-07-2014
2510,frozen fruits,20-04-2014
1946,shopping bags,29-04-2014
4069,brown bread,4/8/2014
2778,bottled beer,9/5/2014
1175,oil,20-09-2014
4292,pot plants,19-01-2014
3776,chewing gum,16-03-2014
2573,rolls/buns,8/5/2014
2510,long life bakery product,23-06-2014
1003,dental care,19-01-2014
4699,cat food,21-07-2014
3189,kitchen towels,28-10-2014
4406,dessert,6/4/2014
2325,long life bakery product,20-01-2014
4069,Instant food products,10/8/2014
1726,detergent,15-05-2014
3026,ice cream,10/6/2014
4015,shopping bags,2/5/2014
3260,waffles,30-12-2014
3890,frozen potato products,21-12-2014
2237,margarine,10/10/2014
2641,butter,20-07-2014
2581,curd,2/8/2014
2030,newspapers,6/9/2014
2024,yogurt,21-07-2014
1729,pastry,19-04-2014
2331,sugar,8/4/2014
1890,rice,12/9/2014
4579,waffles,10/5/2014
3140,butter,3/8/2014
4492,chocolate,24-04-2014
3537,bottled water,26-03-2014
3581,sugar,23-10-2014
4924,cereals,19-01-2014
2589,cookware,11/4/2014
3302,napkins,22-06-2014
4566,hard cheese,13-04-2014
2758,dishes,30-01-2014
4790,frozen vegetables,7/9/2014
4178,white bread,18-12-2014
2051,cream cheese ,1/5/2014
1647,flour,20-11-2014
2778,shopping bags,15-05-2014
1651,domestic eggs,23-03-2014
3760,shopping bags,11/9/2014
4511,rice,15-09-2014
4674,whole milk,31-05-2014
3684,fruit/vegetable juice,20-07-2014
3094,bottled water,26-06-2014
2726,soft cheese,2/8/2014
4897,canned fish,25-11-2014
3408,waffles,7/4/2014
4294,coffee,3/3/2014
4404,cream cheese ,29-04-2014
3692,misc. beverages,1/2/2014
2370,soda,27-07-2014
2137,napkins,25-04-2014
4272,pickled vegetables,22-07-2014
3042,oil,11/7/2014
2974,waffles,2/9/2014
1967,dental care,3/11/2014
1208,bottled water,3/8/2014
2436,bottled water,27-11-2014
3379,butter milk,10/12/2014
3148,chocolate,25-10-2014
2831,margarine,25-05-2014
1796,coffee,6/8/2014
4729,fruit/vegetable juice,27-12-2014
3308,light bulbs,5/11/2014
3848,brown bread,4/1/2014
1641,pastry,9/2/2014
1279,sliced cheese,28-04-2014
3495,hygiene articles,3/9/2014
4484,bottled water,23-04-2014
4578,pot plants,13-08-2014
1027,bottled water,22-09-2014
2388,chewing gum,28-08-2014
4762,newspapers,8/7/2014
4687,processed cheese,13-06-2014
1965,yogurt,2/1/2014
3246,yogurt,4/10/2014
2541,specialty bar,14-01-2014
4363,frozen vegetables,24-12-2014
4143,salt,7/3/2014
2038,soda,4/2/2014
1865,brown bread,6/6/2014
1003,rolls/buns,27-02-2014
3358,pudding powder,9/9/2014
4782,pickled vegetables,30-10-2014
4952,curd,15-07-2014
4042,canned beer,26-07-2014
2907,domestic eggs,2/9/2014
4693,shopping bags,29-03-2014
1980,frozen vegetables,12/9/2014
4217,sweet spreads,27-07-2014
4106,pastry,21-09-2014
4137,curd,12/9/2014
2862,shopping bags,2/6/2014
4115,coffee,7/5/2014
3394,shopping bags,22-11-2014
2729,spices,22-05-2014
1949,napkins,18-10-2014
4832,bottled beer,28-08-2014
1276,house keeping products,7/6/2014
3584,white bread,20-07-2014
2958,chocolate,17-12-2014
4061,frozen potato products,4/7/2014
3568,soda,13-08-2014
1680,dog food,15-05-2014
1588,processed cheese,19-07-2014
2923,specialty bar,2/11/2014
4751,candy,2/3/2014
1633,shopping bags,5/7/2014
2235,canned beer,13-10-2014
1466,waffles,9/4/2014
3520,pudding powder,12/5/2014
3090,shopping bags,7/6/2014
2341,shopping bags,22-12-2014
2140,bottled beer,6/10/2014
1017,pet care,14-10-2014
2177,coffee,19-08-2014
3129,dessert,2/6/2014
4299,rolls/buns,21-10-2014
1294,dishes,24-06-2014
2851,misc. beverages,16-01-2014
3948,toilet cleaner,8/4/2014
2047,semi-finished bread,28-04-2014
1910,chocolate,26-02-2014
2834,shopping bags,1/8/2014
1561,coffee,15-05-2014
1552,baby cosmetics,9/1/2014
3353,yogurt,10/5/2014
1646,frozen vegetables,17-06-2014
1554,vinegar,31-01-2014
1622,shopping bags,17-05-2014
3575,photo/film,3/5/2014
4396,shopping bags,20-03-2014
4858,misc. beverages,14-01-2014
1012,brown bread,22-06-2014
4137,fruit/vegetable juice,21-12-2014
1342,white bread,14-02-2014
2573,soda,21-01-2014
4437,napkins,13-11-2014
2175,frozen fish,23-05-2014
3879,dessert,18-08-2014
4378,flour,5/10/2014
4721,specialty bar,1/7/2014
2138,whisky,1/10/2014
4673,processed cheese,10/12/2014
